Mark Sequence Malloc     Size       Addr Line File
  10    43986 malloc    23138 0x01254150   58 support\stringmgr\stringmgr.cpp
  12    43989 ------ -------- ---------- ---- ----End   - LoadPermanentData
  12    43990 new        1136 0x012645C0  228 rojects\aads\aads\sm_common.cpp
  12    43991 new     4590280 0x01970080  149 rojects\aads\aads\sm_server.cpp
  12    43992 new          36 0x003AFFA8  382 lementation\x_array_private.hpp
  15    43995 ------ -------- ---------- ---- ----Begin Loading Mission
  15    43996 new          12 0x003ADFD0  109 support\stringmgr\stringmgr.cpp
  15    43997 malloc      256 0x0167DA60   58 support\stringmgr\stringmgr.cpp
  15    43998 new          24 0x003A2AD8  382 lementation\x_array_private.hpp
  15    44000 new        4790 0x0125E240  120 s\support\objects\bot\graph.cpp
  15    44001 new       47808 0x012BB038  126 s\support\objects\bot\graph.cpp
  15    44002 new        1916 0x0125F578  131 s\support\objects\bot\graph.cpp
  15    44003 new        1328 0x017399C8  136 s\support\objects\bot\graph.cpp
  18    44006 ------ -------- ---------- ---- ----ENVIRONMENT
  18    44012 new         112 0x0167DBE8  323 \support\shape\shapemanager.cpp
  18    44013 new        1856 0x01260F98  224 \support\shape\shapebinfile.cpp
  18    44015 new         112 0x01747C08  323 \support\shape\shapemanager.cpp
  18    44016 new        3952 0x0131EEF8  224 \support\shape\shapebinfile.cpp
  18    44018 new         112 0x0131FEF0  323 \support\shape\shapemanager.cpp
  18    44019 new        6512 0x01747D00  224 \support\shape\shapebinfile.cpp
  18    44021 new         112 0x01738980  323 \support\shape\shapemanager.cpp
  18    44022 new       17136 0x017496F8  224 \support\shape\shapebinfile.cpp
  18    44024 new         112 0x01738A78  323 \support\shape\shapemanager.cpp
  18    44025 new       43568 0x0174DA70  224 \support\shape\shapebinfile.cpp
  18    44027 new         112 0x01758528  323 \support\shape\shapemanager.cpp
  18    44028 new       22192 0x01758620  224 \support\shape\shapebinfile.cpp
  18    44030 new         112 0x01738B70  323 \support\shape\shapemanager.cpp
  18    44031 new       33616 0x0175DD58  224 \support\shape\shapebinfile.cpp
  18    44033 new         112 0x01738C68  323 \support\shape\shapemanager.cpp
  18    44034 new       26896 0x01766130  224 \support\shape\shapebinfile.cpp
  18    44036 new         112 0x01738D60  323 \support\shape\shapemanager.cpp
  18    44037 new        2224 0x01738E58  224 \support\shape\shapebinfile.cpp
  18    44039 new         112 0x01739790  323 \support\shape\shapemanager.cpp
  18    44040 new        1840 0x012627A8  224 \support\shape\shapebinfile.cpp
  18    44042 new         112 0x01262F60  323 \support\shape\shapemanager.cpp
  18    44043 new        1840 0x0176CAC8  224 \support\shape\shapebinfile.cpp
  18    44045 new         112 0x01739888  323 \support\shape\shapemanager.cpp
  18    44046 new        4096 0x0176D280  224 \support\shape\shapebinfile.cpp
  18    44048 new         112 0x01261760  323 \support\shape\shapemanager.cpp
  18    44049 new        4992 0x0176F350  224 \support\shape\shapebinfile.cpp
  18    44051 new         112 0x01261858  323 \support\shape\shapemanager.cpp
  18    44052 new        3392 0x01261950  224 \support\shape\shapebinfile.cpp
  18    44054 new         112 0x0176E308  323 \support\shape\shapemanager.cpp
